id,pokeapi_id,name_ja,category_name,cost,fling_power,fling_effect_name,effect_en,effect_ja,sprite_default_url
luxury-ball,11,ゴージャスボール,special-balls,3000,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon’s happiness increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost.","捕まえた　野生ポケモンが
とても　なつきやすくなる
いごこちの　いい　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/luxury-ball.png
premier-ball,12,プレミアボール,special-balls,20,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","なにかの　記念の　品として
特別に　つくられた
ちょっと　珍しい　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/premier-ball.png
dusk-ball,13,ダークボール,special-balls,1000,,,"Used in battle
:   Attempts to catch a wild Pokémon.  If it’s currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","夜や　どうくつなど　暗いところで
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dusk-ball.png
heal-ball,14,ヒールボール,special-balls,300,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  The caught Pokémon’s HP is immediately restored, PP for all its moves is restored, and any status ailment is cured.

    If used in a trainer battle, nothing happens and the ball is lost.","捕まえた　ポケモンの　ＨＰと
状態異常を　回復する
ちょっと　やさしい　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heal-ball.png
quick-ball,15,クイックボール,special-balls,1000,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost.","戦闘が　はじまって　すぐに
使うと　捕まえやすくなる
ちょっと　変わった　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/quick-ball.png
cherish-ball,16,プレシャスボール,special-balls,0,,,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","なにかの　記念の　品として
特別に　つくられた
かなり　珍しい　ボール。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cherish-ball.png
potion,17,キズぐすり,healing,200,30,,"Used on a friendly Pokémon
:   Restores 20 HP.","スプレー式の　キズぐすり。
ポケモン　１匹の　ＨＰを
２０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/potion.png
antidote,18,どくけし,status-cures,200,30,,"Used on a party Pokémon
:   Cures poison.","スプレー式の　薬。
ポケモン　１匹の　どくの
状態を　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/antidote.png
burn-heal,19,やけどなおし,status-cures,200,30,,"Used on a party Pokémon
:   Cures a burn.","スプレー式の　薬。
ポケモン　１匹の　やけどの
状態を　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/burn-heal.png
ice-heal,20,こおりなおし,status-cures,200,30,,"Used on a party Pokémon
:   Cures freezing.","スプレー式の　薬。
ポケモン　１匹の　こおりの
状態を　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ice-heal.png
awakening,21,ねむけざまし,status-cures,200,30,,"Used on a party Pokémon
:   Cures sleep.","スプレー式の　薬。
ポケモン　１匹の　ねむりの
状態を　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/awakening.png
paralyze-heal,22,まひなおし,status-cures,200,30,,"Used on a party Pokémon
:   Cures paralysis.","スプレー式の　薬。
ポケモン　１匹の　まひの
状態を　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/paralyze-heal.png
full-restore,23,かいふくのくすり,healing,3000,30,,"Used on a party Pokémon
:   Restores HP to full and cures any status ailment and confusion.","ポケモン　１匹の　ＨＰと
状態異常を　すべて
回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-restore.png
max-potion,24,まんたんのくすり,healing,2500,30,,"Used on a party Pokémon
:   Restores HP to full.","スプレー式の　キズぐすり。
ポケモン　１匹の　ＨＰを
すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-potion.png
hyper-potion,25,すごいキズぐすり,healing,1500,30,,"Used on a party Pokémon
:   Restores 200 HP.","スプレー式の　キズぐすり。
ポケモン　１匹の　ＨＰを
２００だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hyper-potion.png
super-potion,26,いいキズぐすり,healing,700,30,,"Used on a party Pokémon
:   Restores 50 HP.","スプレー式の　キズぐすり。
ポケモン　１匹の　ＨＰを
５０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-potion.png
full-heal,27,なんでもなおし,status-cures,400,30,,"Used on a party Pokémon
:   Cures any status ailment and confusion.","スプレー式の　薬。
ポケモン　１匹の　状態の
異常を　すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-heal.png
revive,28,げんきのかけら,revival,2000,30,,"Used on a party Pokémon
:   Revives the Pokémon and restores half its HP.","ひんしに　なってしまった　ポケモン
１匹を　元気に　したうえで
ＨＰを　半分まで　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/revive.png
max-revive,29,げんきのかたまり,revival,4000,30,,"Used on a party Pokémon
:   Revives the Pokémon and restores its HP to full.","ひんしに　なってしまった　ポケモン
１匹を　元気に　したうえで
ＨＰを　すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-revive.png
fresh-water,30,おいしいみず,healing,200,30,,"Used on a party Pokémon
:   Restores 50 HP.","ミネラル　たっぷりの　水。
ポケモン　１匹の　ＨＰを
５０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fresh-water.png
soda-pop,31,サイコソーダ,healing,300,30,,"Used on a party Pokémon
:   Restores 60 HP.","シュワっと　はじける　ソーダ。
ポケモン　１匹の　ＨＰを
６０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/soda-pop.png
lemonade,32,ミックスオレ,healing,400,30,,"Used on a party Pokémon
:   Restores 80 HP.","とても　あまい　ジュース。
ポケモン　１匹の　ＨＰを
８０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lemonade.png
moomoo-milk,33,モーモーミルク,healing,600,30,,"Used on a party Pokémon
:   Restores 100 HP.","栄養満点の　ミルク。
ポケモン　１匹の　ＨＰを
１００だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/moomoo-milk.png
energy-powder,34,ちからのこな,healing,500,30,,"Used on a party Pokémon
:   Restores 50 HP.  Decreases happiness by 5/5/10.","とても　にがい　粉薬。
ポケモン　１匹の　ＨＰを
５０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/energy-powder.png
energy-root,35,ちからのねっこ,healing,1200,30,,"Used on a party Pokémon
:   Restores 200 HP.  Decreases happiness by 10/10/15.","とても　にがい　ねっこ。
ポケモン　１匹の　ＨＰを
２００だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/energy-root.png
heal-powder,36,ばんのうごな,status-cures,300,30,,"Used on a party Pokémon
:   Cures any status ailment.  Decreases happiness by 5/5/10.","とても　にがい　粉薬。
ポケモン　１匹の　状態の
異常を　すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heal-powder.png
revival-herb,37,ふっかつそう,revival,2800,30,,"Used on a party Pokémon
:   Revives a fainted Pokémon and restores its HP to full.  Decreases happiness by 10/10/15.","とても　にがい　薬草。
ひんしの　ポケモン　１匹の
ＨＰを　すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/revival-herb.png
ether,38,ピーピーエイド,pp-recovery,1200,30,,"Used on a party Pokémon
:   Restores 10 PP for a selected move.","ポケモンが　覚えている
技のうち　１つの　ＰＰを
１０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ether.png
max-ether,39,ピーピーリカバー,pp-recovery,2000,30,,"Used on a party Pokémon
:   Restores PP to full for a selected move.","ポケモンが　覚えている
技のうち　１つの　ＰＰを
すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-ether.png
elixir,40,ピーピーエイダー,pp-recovery,3000,30,,"Used on a party Pokémon
:   Restores 10 PP for each move.","ポケモンが　覚えている
４つの　技の　ＰＰを
１０ずつ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/elixir.png
max-elixir,41,ピーピーマックス,pp-recovery,4500,30,,"Used on a party Pokémon
:   Restores PP to full for each move.","ポケモンが　覚えている
４つの　技の　ＰＰを
すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-elixir.png
lava-cookie,42,フエンせんべい,status-cures,350,30,,"Used on a party Pokémon
:   Cures any status ailment and confusion.","フエン名物の　せんべい。
ポケモン　１匹の　状態の
異常を　すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lava-cookie.png
berry-juice,43,きのみジュース,healing,200,30,,"Used on a party Pokémon
:   Restores 20 HP.","きのみ　１００％の　ジュース。
ポケモン　１匹の　ＨＰを
２０だけ　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/berry-juice.png
sacred-ash,44,せいなるはい,revival,50000,30,,"Used
:   Revives all fainted Pokémon in the party and restores their HP to full.","ひんしに　なってしまった
ポケモン　全員の　ＨＰを
すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sacred-ash.png
hp-up,45,マックスアップ,vitamins,10000,30,,"Used on a party Pokémon
:   Increases HP effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.","ポケモンの　栄養ドリンク。
ポケモン　１匹の　ＨＰの
基礎ポイントを　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hp-up.png
protein,46,タウリン,vitamins,10000,30,,"Used on a party Pokémon
:   Increases Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.","ポケモンの　栄養ドリンク。
ポケモン　１匹の　攻撃の
基礎ポイントを　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/protein.png
iron,47,ブロムヘキシン,vitamins,10000,30,,"Used on a party Pokémon
:   Increases Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.","ポケモンの　栄養ドリンク。
ポケモン　１匹の　防御の
基礎ポイントを　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/iron.png
carbos,48,インドメタシン,vitamins,10000,30,,"Used on a party Pokémon
:   Increases Speed effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.","ポケモンの　栄養ドリンク。
ポケモン　１匹の　素早さの
基礎ポイントを　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/carbos.png
calcium,49,リゾチウム,vitamins,10000,30,,"Used on a party Pokémon
:   Increases Special Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.","ポケモンの　栄養ドリンク。
ポケモン　１匹の　特攻の
基礎ポイントを　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/calcium.png
rare-candy,50,ふしぎなアメ,vitamins,10000,30,,"Used on a party Pokémon
:   Increases level by 1.  Increases happiness by 5/3/2.","エネルギーの　つまった　アメ。
あたえると　ポケモン　１匹の
レベルが　１だけ　あがる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rare-candy.png
pp-up,51,ポイントアップ,vitamins,10000,30,,"Used on a party Pokémon
:   Increases a selected move’s max PP by 20% its original max PP, to a maximum of 1.6×.  Increases happiness by 5/3/2.","ポケモンが　覚えている
技のうち　１つの　ＰＰの
最大値を　少し　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pp-up.png
zinc,52,キトサン,vitamins,10000,30,,"Used on a party Pokémon
:   Increases Special Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.","ポケモンの　栄養ドリンク。
ポケモン　１匹の　特防の
基礎ポイントを　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/zinc.png
pp-max,53,ポイントマックス,vitamins,10000,30,,"Used on a party Pokémon
:   Increases a selected move’s max PP to 1.6× its original max PP.  Increases happiness by 5/3/2.","覚えている　技のうち
１つの　ＰＰの　最大値を
最高まで　あげる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pp-max.png
old-gateau,54,もりのヨウカン,status-cures,350,30,,"Used on a party Pokémon
:   Cures any status ailment and confusion.","ハクタイの　隠れた　名物。
ポケモン　１匹の　状態の
異常を　すべて　回復する。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/old-gateau.png
guard-spec,55,エフェクトガード,stat-boosts,1500,30,,"Used on a party Pokémon in battle
:   Protects the target’s stats from being lowered for the next five turns.  Increases happiness by 1/1/0.","戦闘中　５ターンの　あいだ
味方の　能力を
さげられなくする　道具。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/guard-spec.png
dire-hit,56,クリティカット,stat-boosts,1000,30,,"Used on a party Pokémon in battle
:   Increases the target’s critical hit chance by one stage until it leaves the field.  Increases happiness by 1/1/0.","急所率が　大きく　あがる。
１度しか　使うことが　できない。
ひっこめると　元に　戻る。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dire-hit.png
x-attack,57,プラスパワー,stat-boosts,1000,30,,"Used on a party Pokémon in battle
:   Raises the target’s Attack by one stage.  Increases happiness by 1/1/0.","戦闘中の　ポケモンの
攻撃を　あげる　道具。
ひっこめると　元に　戻る。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-attack.png
x-defense,58,ディフェンダー,stat-boosts,2000,30,,"Used on a party Pokémon in battle
:   Raises the target’s Defense by one stage.  Increases happiness by 1/1/0.","戦闘中の　ポケモンの
防御を　あげる　道具。
ひっこめると　元に　戻る。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-defense.png
x-speed,59,スピーダー,stat-boosts,1000,30,,"Used on a party Pokémon in battle
:   Raises the target’s Speed by one stage.  Increases happiness by 1/1/0.","戦闘中の　ポケモンの
素早さを　あげる　道具。
ひっこめると　元に　戻る。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-speed.png
x-accuracy,60,ヨクアタール,stat-boosts,1000,30,,"Used on a party Pokémon in battle
:   Raises the target’s accuracy by one stage.  Increases happiness by 1/1/0.","戦闘中の　ポケモンの
命中を　あげる　道具。
ひっこめると　元に　戻る。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-accuracy.png
x-sp-atk,61,スペシャルアップ,stat-boosts,1000,30,,"Used on a party Pokémon in battle
:   Raises the target’s Special Attack by one stage.  Increases happiness by 1/1/0.","戦闘中の　ポケモンの
特攻を　あげる　道具。
ひっこめると　元に　戻る。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-sp-atk.png
x-sp-def,62,スペシャルガード,stat-boosts,2000,30,,"Used on a party Pokémon in battle
:   Raises the target’s Special Defense by one stage.  Increases happiness by 1/1/0.","戦闘中の　ポケモンの
特防を　あげる　道具。
ひっこめると　元に　戻る。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-sp-def.png
poke-doll,63,ピッピにんぎょう,spelunking,300,30,,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.","ポケモンの　気をひかせる　道具。
野生ポケモンとの　戦闘から
絶対に　逃げられる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poke-doll.png
fluffy-tail,64,エネコのシッポ,spelunking,100,30,,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.","ポケモンの　気をひかせる　道具。
野生ポケモンとの　戦闘から
絶対に　逃げられる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fluffy-tail.png
blue-flute,65,あおいビードロ,flutes,20,30,,"Used on a party Pokémon
:   Cures sleep.","青い　ガラスで　できている
おもちゃの　笛。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-flute.png
yellow-flute,66,きいろビードロ,flutes,20,30,,"Used on a party Pokémon in battle
:   Cures confusion.","黄色い　ガラスで　できている
おもちゃの　笛。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-flute.png
red-flute,67,あかいビードロ,flutes,20,30,,"Used on a party Pokémon in battle
:   Cures attraction.","赤い　ガラスで　できている
おもちゃの　笛。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-flute.png
black-flute,68,くろいビードロ,spelunking,20,30,,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%.","黒い　ガラスで　できている
おもちゃの　笛。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-flute.png
white-flute,69,しろいビードロ,spelunking,20,30,,"Used outside of battle
:   Doubles the wild Pokémon encounter rate.","白い　ガラスで　できている
おもちゃの　笛。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/white-flute.png
shoal-salt,70,あさせのしお,collectibles,20,30,,No effect.,"浅瀬の洞穴という　場所で
みつかる　きれいな　塩。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-salt.png
shoal-shell,71,あさせのかいがら,collectibles,20,30,,No effect.,"浅瀬の洞穴という　場所で
みつかる　きれいな　貝殻。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-shell.png
red-shard,72,あかいかけら,collectibles,1000,30,,"No effect.

In Diamond and Pearl, trade ten for a Sunny Day TM in the house midway along the southern section of Route 212.

In Platinum, trade to move tutors on Route 212, in Snowpoint City, and in the Survival Area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a Cheri Berry, a Leppa Berry, and a Pecha Berry with the Juggler near the Pokémon Center in Violet City.

In HeartGold and SoulSilver, trade one for a Persim Berry, a Pomeg Berry, and a Razz Berry with the Juggler near the Pal Park entrance in Fuchsia City.","赤い　小さな　かけら。
昔に　つくられた　なにかの
道具の　一部らしい。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-shard.png
blue-shard,73,あおいかけら,collectibles,1000,30,,"No effect.

In Diamond and Pearl, trade ten for a Rain Dance TM in the house midway along the southern section of Route 212.

In Platinum, trade to move tutors on Route 212, in Snowpoint City, and in the Survival Area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a Chesto Berry, an Oran Berry, and a Wiki Berry with the Juggler near the Pokémon Center in Violet City.

In HeartGold and SoulSilver, trade one for a Bluk Berry, a Cornn Berry, and a Kelpsy Berry with the Juggler near the Pal Park entrance in Fuchsia City.","青い　小さな　かけら。
昔に　つくられた　なにかの
道具の　一部らしい。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-shard.png
yellow-shard,74,きいろいかけら,collectibles,1000,30,,"No effect.

In Diamond and Pearl, trade ten for a Sandstorm TM in the house midway along the southern section of Route 212.

In Platinum, trade to move tutors on Route 212, in Snowpoint City, and in the Survival Area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an Aspear Berry, a Iapapa Berry, and a Sitrus Berry with the Juggler near the Pokémon Center in Violet City.

In HeartGold and SoulSilver, trade one for a Grepa Berry, a Nomel Berry, and a Pinap Berry with the Juggler near the Pal Park entrance in Fuchsia City.","黄色い　小さな　かけら。
昔に　つくられた　なにかの
道具の　一部らしい。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-shard.png
green-shard,75,みどりのかけら,collectibles,1000,30,,"No effect.

In Diamond and Pearl, trade ten for a Hail TM in the house midway along the southern section of Route 212.

In Platinum, trade to move tutors on Route 212, in Snowpoint City, and in the Survival Area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an Aguav Berry, a Lum Berry, and a Rawst Berry with the Juggler near the Pokémon Center in Violet City.

In HeartGold and SoulSilver, trade one for a Durin Berry, a Hondew Berry, and a Wepear Berry with the Juggler near the Pal Park entrance in Fuchsia City.","緑の　小さな　かけら。
昔に　つくられた　なにかの
道具の　一部らしい。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/green-shard.png
super-repel,76,シルバースプレー,spelunking,700,30,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 200 steps.","２００歩　進む　あいだ
弱い　野生の　ポケモンが
まったく　でて　こなくなる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-repel.png
max-repel,77,ゴールドスプレー,spelunking,900,30,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 250 steps.","２５０歩　進む　あいだ
弱い　野生の　ポケモンが
まったく　でて　こなくなる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-repel.png
escape-rope,78,あなぬけのヒモ,spelunking,300,30,,"Used outside of battle
:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in Distortion World, Hall Of Origin, Spear Pillar, or Turnback Cave.","長くて　丈夫な　ヒモ。
洞窟や　ダンジョンから
抜け出すことが　できる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/escape-rope.png
repel,79,むしよけスプレー,spelunking,400,30,,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 100 steps.","１００歩　進む　あいだ
弱い　野生の　ポケモンが
まったく　でて　こなくなる。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/repel.png
sun-stone,80,たいようのいし,evolution,3000,30,,"Used on a party Pokémon
:   Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora.","ある　特定の　ポケモンを
進化させる　不思議な　石。
太陽のように　赤い。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sun-stone.png
moon-stone,81,つきのいし,evolution,3000,30,,"Used on a party Pokémon
:   Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty.","ある　特定の　ポケモンを
進化させる　不思議な　石。
夜空のように　黒い。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/moon-stone.png
fire-stone,82,ほのおのいし,evolution,3000,30,,"Used on a party Pokémon
:   Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales.","ある　特定の　ポケモンを
進化させる　不思議な　石。
だいだい色を　している。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fire-stone.png
thunder-stone,83,かみなりのいし,evolution,3000,30,,"Used on a party Pokémon
:   Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu.","ある　特定の　ポケモンを
進化させる　不思議な　石。
稲妻の　模様が　ある。",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/thunder-stone.png
